epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,193.314,0.42839,0.31447,0.88897,0.98304,0.98611,0.98346,0.89546,0.51645,0.33055,0.90692,0.000920182,0.000920182,0.000920182
123,194.872,0.4306,0.30858,0.86303,0.97752,0.98611,0.98337,0.89601,0.49634,0.3383,0.90674,0.000917456,0.000917456,0.000917456
124,196.416,0.42204,0.30384,0.87441,0.97499,0.98611,0.9828,0.88318,0.50308,0.3296,0.9071,0.000915467,0.000915467,0.000915467
125,197.971,0.42647,0.31411,0.86718,0.99212,0.98359,0.98357,0.88894,0.48433,0.32063,0.898,0.000912747,0.000912747,0.000912747
126,199.554,0.4298,0.30862,0.86214,0.98162,0.98611,0.98393,0.8944,0.47738,0.32131,0.8972,0.000910027,0.000910027,0.000910027
127,201.076,0.42082,0.30197,0.87205,0.97962,0.98388,0.98407,0.89148,0.4779,0.33992,0.89814,0.000907308,0.000907308,0.000907308
128,202.604,0.40024,0.29465,0.86309,0.98965,0.98611,0.98511,0.88317,0.47671,0.30161,0.89909,0.000904588,0.000904588,0.000904588
129,204.171,0.41343,0.29825,0.86832,0.99474,0.98611,0.98517,0.8929,0.47825,0.28278,0.9095,0.000901868,0.000901868,0.000901868
130,205.708,0.39582,0.28465,0.8465,0.99609,0.98611,0.98451,0.8926,0.49318,0.29738,0.91993,0.000899148,0.000899148,0.000899148
131,207.225,0.40516,0.30151,0.86233,0.99593,0.98611,0.98432,0.8796,0.49251,0.30512,0.91657,0.000896429,0.000896429,0.000896429
132,208.773,0.43095,0.30789,0.88192,0.98899,0.96611,0.98484,0.88016,0.48907,0.31923,0.91068,0.000893709,0.000893709,0.000893709
133,210.401,0.41334,0.30386,0.87334,0.99051,0.98611,0.9848,0.8836,0.49087,0.3256,0.92213,0.000890989,0.000890989,0.000890989
134,211.961,0.41537,0.29134,0.87197,0.99529,0.98611,0.98523,0.89102,0.48265,0.29178,0.91097,0.000888269,0.000888269,0.000888269
135,213.528,0.39605,0.29003,0.86519,0.99545,0.98611,0.98296,0.88921,0.49427,0.30257,0.9196,0.000885549,0.000885549,0.000885549
136,215.083,0.40976,0.29827,0.87617,0.99359,0.98611,0.9831,0.87816,0.50665,0.3022,0.92914,0.00088283,0.00088283,0.00088283
137,216.619,0.392,0.29485,0.86977,0.99321,0.98611,0.98299,0.88994,0.48863,0.31289,0.92155,0.00088011,0.00088011,0.00088011
138,218.139,0.40976,0.29935,0.86435,0.98646,0.98611,0.98307,0.89015,0.47777,0.33266,0.9123,0.000878207,0.000878207,0.000878207
139,219.702,0.41969,0.30419,0.88451,0.99006,0.98611,0.98441,0.88637,0.4844,0.32528,0.91918,0.000875493,0.000875493,0.000875493
140,221.227,0.41857,0.30264,0.88194,0.99364,0.98611,0.98544,0.88866,0.49826,0.3025,0.9155,0.00087278,0.00087278,0.00087278
